name,prompt,negative_prompt
jet_ski,"jet ski riding, high speed, splashing water, summer fun",
sailing,"sailing boat, open sea, wind in sails, adventurous vibe",
kayaking,"kayaking on river, paddle, water splashes, outdoor sport",
rafting,"white water rafting, group activity, rapid river, teamwork",
windsurfing,"windsurfing board, strong wind, ocean waves, action pose",
kitesurfing,"kitesurfing, kite sail, jumping above water, extreme sport",
water_polo,"water polo match, ball, team action, swimming pool",
divider_extreme_sports_styles,,
skydiving,"skydiving mid-air, parachute, freefall, dramatic clouds",
base_jumping,"base jumping from cliff, wingsuit, extreme height",
bungee_jumping,"bungee jumping, elastic cord, thrilling moment",
mountain_biking,"mountain biking, rough trail, downhill speed",
skateboarding,"skateboarding tricks, urban skatepark, dynamic motion",
snowboarding,"snowboarding on snowy slope, high speed, winter sport",
skiing,"skiing downhill, snowy mountain, action shot",
parkour,"parkour jump, urban buildings, dynamic acrobatics",
rock_climbing,"rock climbing cliff face, harness, epic view",
paragliding,"paragliding, colorful parachute, scenic mountains",
divider_dance_styles,,
ballet,"ballet dance, tutu dress, graceful pose, stage spotlight",
hip_hop,"hip hop dance, street style, energetic movement, urban vibe",
salsa,"salsa dance, passionate couple, flowing dress, latin rhythm",
tango,"tango dance, dramatic pose, elegant outfit, romantic vibe",
breakdance,"breakdance move, urban street, acrobatic spin, dynamic",
bellydance,"bellydance, exotic costume, flowing veils, rhythmic movement",
flamenco,"flamenco dance, spanish dress, castanets, fiery energy",
k_pop_dance,"K-pop dance, idol group, synchronized movement, stage lights",
ballroom,"ballroom dance, formal gown and suit, elegant, graceful",
contemporary,"contemporary dance, expressive pose, modern stage lighting",
divider_occupation_styles,,
doctor,"doctor outfit, white coat, stethoscope, hospital background",
nurse_job,"nurse attire, medical setting, caring vibe",
firefighter,"firefighter uniform, helmet, hose, smoky scene",
police_officer,"police officer uniform, badge, authority stance",
detective,"detective outfit, trench coat, magnifying glass, noir vibe",
scientist,"scientist in lab coat, laboratory, research equipment",
chef,"chef uniform, kitchen background, cooking action",
teacher,"teacher outfit, classroom, blackboard, instructive vibe",
astronaut,"astronaut suit, outer space, helmet, stars",
pilot,"pilot uniform, airplane cockpit, aviator style",
soldier,"soldier uniform, camouflage, military gear",
engineer,"engineer outfit, hard hat, blueprint, industrial setting",
farmer,"farmer attire, straw hat, farmland, rustic vibe",
artist,"artist with paintbrush, easel, colorful palette",
musician,"musician with instrument, stage, performance vibe",
divider_magical_effect_styles,,
fire_magic,"fire magic, flames, burning aura, glowing hands",
ice_magic,"ice magic, frosty mist, ice shards, cold aura",
lightning_magic,"lightning magic, electric sparks, glowing bolts",
dark_magic,"dark magic, cursed runes, shadow aura, sinister vibe",
healing_magic,"healing magic, soft glow, green particles, holy aura",
wind_magic,"wind magic, swirling air, gust effects, floating leaves",
earth_magic,"earth magic, rocks levitating, cracked ground, dust",
water_magic,"water magic, flowing waves, droplets, aquatic glow",
light_magic,"light magic, radiant beams, divine aura, holy shine",
blood_magic,"blood magic, crimson aura, dark ritual, sinister energy",
divider_elemental_creature_styles,,
fire_dragon,"fire dragon, blazing flames, molten scales, fierce presence",
ice_golem,"ice golem, frozen body, frosty aura, towering figure",
storm_phoenix,"storm phoenix, lightning feathers, thunderous wings",
earth_titan,"earth titan, rocky body, moss, massive strength",
wind_serpent,"wind serpent, swirling body, ethereal, cloud trails",
water_nymph,"water nymph, flowing hair, aquatic glow, serene aura",
shadow_wraith,"shadow wraith, dark mist, glowing eyes, eerie presence",
light_guardian,"light guardian, radiant wings, divine aura, glowing armor",
lava_elemental,"lava elemental, molten core, fiery cracks, destructive power",
crystal_beast,"crystal beast, refracting light, sharp edges, mystical energy",
divider_battle_scene_styles,,
duel,"1v1 duel, intense stare, close combat, dramatic tension",
army_clash,"massive army clash, soldiers, battlefield chaos, epic scale",
siege,"castle siege, catapults, broken walls, fire and smoke",
ambush,"ambush attack, hidden enemies, surprise strike, tense moment",
aerial_battle,"aerial battle, flying warriors or aircraft, mid-air combat",
naval_battle,"naval battle, warships, cannon fire, rough seas",
melee_brawl,"melee brawl, chaotic close combat, weapons clashing",
magical_battle,"magical battle, spell effects, glowing runes, elemental chaos",
apocalyptic_war,"apocalyptic war, ruined city, explosions, end of world vibe",
training_duel,"training duel, practice weapons, dojo or sparring arena",
divider_character_archetype_styles,,
hero,"hero archetype, strong stance, inspiring aura, determined look",
villain,"villain archetype, dark aura, menacing expression, sinister presence",
antihero,"antihero archetype, conflicted, edgy vibe, mix of dark and light",
mentor,"mentor archetype, wise elder, calm expression, teaching aura",
sidekick,"sidekick archetype, loyal companion, cheerful, supportive vibe",
trickster,"trickster archetype, playful, mischievous, unpredictable",
lover,"lover archetype, romantic aura, affectionate, soft gaze",
rebel,"rebel archetype, defiant stance, freedom fighter, bold attitude",
ruler,"ruler archetype, crown, commanding presence, authoritative aura",
sage,"sage archetype, ancient wisdom, mystical aura, contemplative look",
3 Person Naruto,"__enhancer__, (detailed skin:1.1), (full body), __Naruto/naruto_pov_group__,3 Beautiful Woman with natural big breast, __nsfw/nsfw_expression__ in __Naruto/place__ ,__style/realistic__, __genre/fantasy_scifi__,__Naruto/action__ ADCOMM
__Naruto/detailed__ ({detailed pussy,nude|topless}:{1|2}) ADDCOL
__Naruto/detailed__ ({detailed pussy,nude|topless}:{1|2}) ADDCOL
__Naruto/detailed__ ({detailed pussy,nude|topless}:{1|2})","lowres, blurry, bad anatomy, bad hands, missing fingers, extra limbs, deformed, disfigured, bad proportions, worst quality, low quality, jpeg artifacts, watermark, text"
1 Person Naruto,"__enhancer__,(detailed skin:1.1), (full body), __Naruto/naruto_pov_single__,Beautiful Woman, __Naruto/detailed__ ({detailed pussy, nude|topless}:{1|2}), with natural big breast, __nsfw/nsfw_expression__ in __Naruto/place__ ,__style/realistic__, __genre/fantasy_scifi__,__Naruto/action__ ","(anime,cartoon, black and white), (SFW), (censored), extra hand, extra foot, open mouth, lowres, blurry, bad anatomy, bad hands, missing fingers, extra limbs, deformed, disfigured, bad proportions, worst quality, low quality, jpeg artifacts, watermark, text"
2 Person Naruto,"__enhancer__,(detailed skin:1.1), (full body), __Naruto/naruto_pov_group__, 2 Beautiful Woman with natural big breast, __nsfw/nsfw_expression__ in __Naruto/place__ ,__style/realistic__, __genre/fantasy_scifi__,__Naruto/action__ ADCOMM
__Naruto/detailed__ ({detailed pussy, nude|topless}:{1|2}) ADDCOL
__Naruto/detailed__ ({detailed pussy, nude|topless}:{1|2})","lowres, blurry, bad anatomy, bad hands, missing fingers, extra limbs, deformed, disfigured, bad proportions, worst quality, low quality, jpeg artifacts, watermark, text"
CYBERPUNK STYLE,"(__cyberpunk/genre__ at __cyberpunk/place__,__cyberpunk/pose__ wearing __cyberpunk/outfit__ with __cyberpunk/mood__, including __cyberpunk/object__,detail:__cyberpunk/detail__)",
AUTO STYLE,"(__automotive/genre__ at __automotive/place__,__automotive/pose__ wearing __automotive/outfit__ with __automotive/mood__, including __automotive/object__,detail:__automotive/detail__)",
SPORT STYLE,"(__sport/genre__ at __sport/place__,__sport/pose__ wearing __sport/outfit__ with __sport/mood__, including __sport/object__,detail:__sport/detail__)",
DARKFANTASY STYLE,"(__dark_fantasy/genre__ at __dark_fantasy/place__,__dark_fantasy/pose__ wearing __dark_fantasy/outfit__ with __dark_fantasy/mood__, including __dark_fantasy/object__,detail:__dark_fantasy/detail__)",
FANTASY STYLE,"(__fantasy/genre__ at __fantasy/place__,__fantasy/pose__ wearing __fantasy/outfit__ with __fantasy/mood__, including __fantasy/object__,detail:__fantasy/detail__)",
TATOO STYLE,"(__tatoo_piercing/genre__ at __tatoo_piercing/place__,__tatoo_piercing/pose__ wearing __tatoo_piercing/outfit__ with __tatoo_piercing/mood__, including __tatoo_piercing/object__,detail:__tatoo_piercing/detail__)",
